hash,NF,ENTROPY,LA,LD,LT,FIX,NBR,RELATIVE_CHURN,RELATIVE_LT,is_buggy
681e40ce46c568f66bcbfb33ad34c39c35f75ab4,17,0.9070818018968316,557,0,0,0,0,557.0,0.0,1
60c3bb3c416df92691c7f49410c4073004150ad7,1,0.0,36,13,49,0,0,1.0,49.0,0
3e88d785c02954220d8481c540a5702c03e663f2,1,0.0,3,3,72,0,0,0.08333333333333333,72.0,0
9727692a83a1ba16870dd1cdbf0e25b5dbede129,2,0.19364280468389866,37,30,206,0,0,0.325242718446602,103.0,1
f7dd08c2357992c1ecbe831203c04e319304c4b6,3,0.5478101891031674,45,59,248,0,0,0.41935483870967744,82.66666666666667,1
b093b82473282f223660672a6af30415ed27b07b,1,0.0,7,0,0,0,0,7.0,0.0,0
9934ea40440efa73f9bb5fffeaca53461460dc63,5,0.9763834999274412,17,14,219,0,0,0.1415525114155251,43.8,1
318ab58e106c303e5916d52072e823c215b4a310,1,0.0,2,3,126,1,0,0.03968253968253968,126.0,1
57cd630dc7527f6a6d5d3d32153d650c35864be7,1,0.0,1,1,125,1,0,0.016,125.0,0
3a30e57d2559f735fcd572856221390df64f4670,1,0.0,3,3,125,1,0,0.048,125.0,0
470c23ad92e13c9998dac45e0c0ec089632aca13,1,0.0,3,5,25,0,0,0.32,25.0,0
a7194295c8e0b92a607457986ed4bfa81c23703b,2,0.9709505944546686,2,3,121,1,0,0.04132231404958678,60.5,0
0cf139bf8ae4f23e0a535957c1565bbf20d28e88,1,0.0,7,6,77,0,0,0.16883116883116886,77.0,0
65e8349c6005ea0241def09d01887f12f357834f,1,0.0,1,1,78,0,0,0.02564102564102564,78.0,0
bb529a226d8fd6914c35ddefca05e96c4ca62cac,1,0.0,5,2,78,0,0,0.08974358974358974,78.0,1
55eebf76f1fc6b124d01746d6af85f95ae1ab7dc,1,0.0,1,1,81,1,0,0.02469135802469136,81.0,1
91e6122819846d094b4d948b4f4d11d0b7a2297e,1,0.0,1,1,81,1,0,0.02469135802469136,81.0,0
52dc317cfb70953f0c5abae3fea1903d042468b8,1,0.0,15,18,61,0,0,0.5409836065573771,61.0,0
6400b1887e48fa92e089cc47bd8b156c19870cf4,1,0.0,14,6,23,0,0,0.8695652173913043,23.0,0
1579b24e7892dda6aa95e77206ffb11ad4c3b38a,3,0.9113887024899268,15,13,71,0,0,0.39436619718309857,23.66666666666667,1
514526ed7ae063f95463deddbbfdce4bb511ca57,1,0.0,2,2,32,1,0,0.125,32.0,0
be78e51f8ca51c532b16551ec7e476e2fc0886de,5,0.5188596596151637,185,185,390,0,0,0.9487179487179488,78.0,1
d8a77c30287dc90d1cd72e26f4b51120c7fce6b5,2,0.9182958340544896,7,11,56,0,0,0.32142857142857145,28.0,0
fcb8f1563dfd5fa21a564d7c8b6fb168bc988be7,1,0.0,0,2,119,1,0,0.01680672268907563,119.0,0
3feba27f8b18565a9eed726286fb7cca051b1fb7,6,0.9868342102536024,49,65,114,0,0,1.0,19.0,0
c5a8eb5cdbc92f83082b8b4b58fe2e83fae6609e,15,0.8331175678420867,374,436,643,0,0,1.2597200622083982,42.86666666666667,0
e27b45e3f048a190e205bf9c2eb8b9e2843bbaeb,4,0.9011930924120176,6,42,157,0,0,0.3057324840764331,39.25,1
4c8fd99e27c9a710a74800596d29b7a3694e52ba,1,0.0,1,1,77,1,0,0.025974025974025976,77.0,0
005dc7e605ceeabbda80679dbc8af1a184d069dc,6,0.7345667535889998,74,74,353,0,0,0.4192634560906516,58.83333333333334,1
6f4c7800897168a8029a159b372cb23ca9581a5f,3,0.8142554996197251,36,14,156,0,0,0.3205128205128205,52.0,0
ddcf45d65f029ec900f99cfe23b4edb58c77a515,8,0.8983593999563094,72,62,392,0,0,0.34183673469387754,49.0,0
b396ff85a78ccb874a930e0776c78a821a6bc0d8,2,0.6665783579949205,23,0,57,0,0,0.4035087719298245,28.5,0
2ac214aed8238e28e053ae4bc7f67020b210bd5a,3,0.8699155297736259,7,7,173,0,0,0.08092485549132948,57.66666666666666,0
344b3d2834a6fee123aedcc127eedf16bbf3e6fc,1,0.0,2,7,61,0,0,0.14754098360655735,61.0,0
cd9773fcf4ac828c38f6b3f89b18b0b259cee98e,1,0.0,1,1,60,0,0,0.03333333333333333,60.0,0
57fe78f1c6b5987043d399c605c43f6b3f3f1ace,6,0.8623201253092956,23,24,344,1,0,0.13662790697674418,57.33333333333334,0
4b5364d356285440992aca6226427819041bf288,4,0.9558105226796484,46,38,217,0,0,0.3870967741935484,54.25,0
bf75bfd9fb15c6ba1c074614f1e61a316f3631da,4,0.8936299760591603,34,33,202,0,0,0.3316831683168317,50.5,0
63812d7a038ec50770a2c13ddef328f11672bf9f,1,0.0,1,1,60,0,0,0.03333333333333333,60.0,0
