n_commit,n_bug,n_suspect
65332,5980,7464
11238,1095,2291
1175,304,419
55147,6116,9599
5107,883,1502
14406,1594,2032
6417,923,607
10618,786,1232
3474,283,684
23539,3085,5265
2183,288,299
3819,609,580
640,66,43
33709,5836,6740
2567,629,602
1710,150,256
60327,12726,8442
1231,129,260
17196,1991,1781
1751,184,76
19230,1441,3814
4791,383,686
186,32,34
149,24,15
5638,807,497
1053,125,95
3262,382,192
385,91,71
1503,163,212
2300,378,601
13405,2332,1545
5951,1790,1958
5864,437,611
337,6,38
37797,2885,4553
404,30,106
11281,2705,2735
662,141,85
6502,2215,1267
3022,378,652
8653,1056,1788
13280,1289,2619
22926,2806,5939
1479,270,333
762,143,204
593,51,78
8121,1207,3184
2813,452,350
6471,775,502
1299,198,286
762,121,65
1249,116,205
14459,1375,3516
12219,2175,2132
5410,898,924
5840,842,1097
16803,1939,2456
2206,353,584
1322,208,203
927,229,30
1153,125,335
392,41,50
21922,6405,6488
6784,837,1469
30500,5175,3797
4324,588,573
2004,349,589
2566,416,502
4187,159,859
1619,69,70
4821,627,987
2179,331,87
2010,342,507
5190,771,662
860,73,106
325,27,36
10533,756,1446
1068,510,195
2388,432,660
1248,247,459
25258,3163,4227
3110,153,47
626,62,175
31059,2603,2831
6854,828,1044
7377,882,1167
442,37,49
1289,285,178
147,40,22
1006,124,140
1311,210,245
6368,436,830
1051,146,167
26014,3912,5947
221,15,16
551,36,13
7237,787,847
695,18,19
701,89,105
1103,82,197
6072,1232,1524
1852,91,344
1829,311,275
732,29,5
5319,673,1288
2378,85,139
794,169,58
2382,293,446
858,100,120
253,29,8
1348,237,419
4723,190,397
1994,188,278
1608,196,194
1924,444,103
5012,477,377
1482,147,96
2871,655,708
2445,525,230
1353,260,449
434,119,147
342,10,10
2110,186,269
2296,245,70
1949,550,89
251,11,8
2259,249,714
1420,204,252
612,103,37
617,40,30
1824,48,17
3257,423,504
13650,2254,4019
9368,1454,2552
6882,591,785
1598,121,309
5677,168,179
966,119,158
57718,10398,13817
2665,157,372
66493,7851,7931
1375,112,152
7843,1286,1518
54,0,0
7548,1076,1318
3961,685,521
443,60,53
6582,366,527
717,49,196
153,23,28
3796,826,973
1732,272,190
1105,152,94
2209,166,455
7048,998,786
331,57,72
1476,319,231
230,20,22
983,78,167
370,133,5
3058,368,825
440,158,100
520,111,12
1188,183,119
4681,650,1599
7973,1146,1288
1119,69,216
27604,3558,3821
936,112,86
90,8,20
607,69,23
284,24,50
5589,406,618
5555,1070,927
13479,1081,3473
203,22,28
2267,267,392
21323,2469,4190
1707,219,90
2190,431,349
7316,1382,1732
2477,362,317
599,94,97
1599,182,207
9881,1966,511
21813,3347,6310
2839,285,395
2939,287,467
17473,2604,3494
1091,173,209
4605,734,328
1915,332,450
1754,147,258
1340,97,144
5416,431,804
213,26,32
4500,654,1218
574,93,146
1400,173,131
19057,2316,2731
489,14,16
5010,2363,1505
921,198,46
97,10,8
4286,967,1491
3660,545,563
1903,202,338
4470,1046,834
1804,148,99
11164,1542,2599
571,61,150
849,39,202
3451,374,711
950,137,93
295,38,32
2459,460,175
4503,797,804
120,26,6
6563,1010,1530
17,2,0
737,48,16
723,62,79
3165,295,307
19226,2335,2597
7012,685,999
1372,79,180
284,37,45
5543,544,376
10832,1171,2486
376,67,22
101,19,24
690,104,76
577,76,312
1203,224,88
530,39,44
5734,855,1071
845,112,120
28747,1652,1689
953,69,165
925,95,109
4290,350,741
3884,414,611
707,41,29
950,89,131
344,35,33
12091,2461,3258
946,141,267
479,51,74
1049,96,190
646,50,48
546,83,59
262,17,11
2840,356,591
540,95,19
629,20,24
2296,268,393
252,53,14
5207,808,836
6193,1092,494
65411,5634,13488
10264,1250,1692
847,108,80
455,71,167
2270,156,184
5422,611,436
301,25,44
333,28,30
313,45,21
1250,120,78
611,34,40
9524,1290,2091
42037,4160,14432
737,106,122
456,58,81
4556,499,678
2189,242,361
4582,533,414
168,14,0
498,59,64
2261,333,226
2549,385,623
938,101,138
3009,282,133
72,28,2
2477,340,961
738,60,137
514,49,28
8889,1754,1446
