hash,NF,ENTROPY,LA,LD,LT,FIX,NBR,RELATIVE_CHURN,RELATIVE_LT,is_buggy
3e34c767011ce385649b016bc72627e5ff71b6ec,349,0.8636511303032826,40788,0,0,0,0,40788.0,0.0,1
0519c4e973fe8bcd95c30ca61da62e174eeee02f,1,0.0,0,573,573,0,0,1.0,573.0,0
416f39de3df7c5055f744405b42347495d3d3f3a,64,0.8550630164605353,9063,0,0,0,0,9063.0,0.0,1
a64a6b7539b6f3e62aa5dbbbffeeaf59c8474419,1,0.0,1,0,304,0,0,0.003289473684210526,304.0,1
a251ddca23ffceb6e4a9d27bd3f2f5b84b0311bc,1,0.0,1,1,305,0,0,0.006557377049180328,305.0,0
201124ae4385b967475774d6dd1b8603e2c33896,1,0.0,1,1,305,1,0,0.006557377049180328,305.0,0
1a0afa464ebd3c2cc11e7a61d3279d60c9edc602,1,0.0,4,2,36,0,0,0.16666666666666666,36.0,0
5ffaaa092b185e491ecc998e0b1d1ce9b8d213c5,1,0.0,11,5,215,1,0,0.07441860465116279,215.0,0
26d65d4fa6dac7791083803712c2fbf7842d4ab1,1,0.0,1,3,221,0,0,0.01809954751131222,221.0,0
6c7f4e3022b036ef6945d9b3c10e7d4431c1da98,1,0.0,5,8,219,0,0,0.0593607305936073,219.0,0
8858ade72223560bf6166b484b64d37a2faaa0df,2,0.9182958340544896,4,2,851,1,0,0.007050528789659225,425.5,0
66faef6b128d01274c4637c4518ae9c0edefcbaa,3,0.6695919455357789,8,8,3474,1,0,0.004605641911341394,1158.0,0
c500bb01b1d7f253165a8f0983f1084ab529f8e1,1,0.0,3,1,495,1,0,0.008080808080808079,495.0,0
1477022e32d1d05fa4a8da659fcb366b106cc2d5,1,0.0,7,2,93,1,0,0.0967741935483871,93.0,0
1484416340065c5d245c51345e66f93f81698e09,1,0.0,5,0,54,0,0,0.0925925925925926,54.0,0
55c680e44c9c866b88e2cd983a0e80e524e4575b,99,0.9230723560216492,10911,2,663,0,0,16.460030165912517,6.696969696969697,1
4382de0c74359798869f988c223652433fbc0d4f,1,0.0,20,63,334,0,0,0.24850299401197606,334.0,0
7f7f128144a27d11c87873311ef683a5dea4803c,1,0.0,2,2,206,0,0,0.019417475728155338,206.0,1
e4c0271b3fcc0908d7dad8a634803b3ecd10b41c,2,0.905200296956048,212,0,0,0,0,212.0,0.0,0
cd3c7aa07904632476b2a06d667260d42e2328e4,1,0.0,17,3,144,0,0,0.1388888888888889,144.0,0
6137decbb28c1287df5995a59b86812933ab86c9,2,1.0,4,2,894,1,0,0.006711409395973154,447.0,0
7661218d266463adcd26d3e26d6cb56f7749ba25,1,0.0,1,0,0,0,0,1.0,0.0,0
deb06287973f7c3fe2c613b9bbdf199f356715c3,50,0.8103376813690661,2775,0,0,0,0,2775.0,0.0,1
157827b1b9dce3b10a93b96f1d33859edda6d699,1,0.0,1,2,47,0,0,0.06382978723404255,47.0,0
1d8a5fd3ccec72b1230f7758918f085ffa758af8,3,0.8707359012298688,52,48,158,0,0,0.6329113924050633,52.66666666666666,0
b40971da6fbdd0cc43f40c35562595788319b248,2,0.04720597158087904,191,0,0,0,0,191.0,0.0,0
3e6ea5e7fac5ae8ff3095ee0f6bf22b90f9804a8,2,0.6840384356390417,10,1,59,0,0,0.1864406779661017,29.5,0
80259786fff5a7c739ddd24f170920db21d06817,3,0.8559140050453039,27,53,162,0,0,0.4938271604938271,54.0,1
d9b148049a5e24984e7ec92b1103c4721e18df1f,2,0.9998393017810484,33,34,136,0,0,0.4926470588235294,68.0,0
e00f30c820a90795be6686de6a161cd8c0e19653,1,0.0,33,22,135,0,0,0.4074074074074074,135.0,0
70cb9f27af88d26c2bd9bb5d9c971d22d87cf804,1,0.0,25,10,146,0,0,0.23972602739726026,146.0,0
e8e899fec3044b25d9307485db4d9d26b1982255,1,0.0,7,1,161,1,0,0.049689440993788817,161.0,0
e74b8acef18aaefacd6e852a9a0007ec2b0c0de5,1,0.0,0,68,68,0,0,1.0,68.0,0
85d771d8c46b645e59e721313a39cab48882da14,1,0.0,37,0,0,0,0,37.0,0.0,1
6aadcf20fcfc4903560eed07305feaaf98853e44,1,0.0,5,1,37,0,0,0.16216216216216214,37.0,1
c50ada4c46f9e09b25efd89311d4b5b965d026ff,1,0.0,3,8,41,1,0,0.2682926829268293,41.0,0
46ff89f0e98949a71ac45078e9c5310a39b842c5,1,0.0,31,12,175,1,1,0.2457142857142857,175.0,0
c97827a2e475386de38da5dcfce90aeb3ced626f,1,0.0,4,10,194,0,0,0.07216494845360824,194.0,0
53f7068ffdee4c0b93a2f2785d2ac9542b7a995a,15,0.8314034946220842,246,304,3400,0,0,0.16176470588235295,226.66666666666663,1
fea057ace971dc0d164cdca68e24061d66f06ada,1,0.0,1,0,0,0,0,1.0,0.0,0
24a5e3a7570da5b5e5cece7820de98060813d0e3,2,0.21832103023746735,83,3,269,0,0,0.31970260223048325,134.5,0
bd85ed13a652e95c76e49315cc9b25e144a2ee1a,3,0.8530940672206127,77,1,501,0,0,0.15568862275449102,167.0,0
e42e097394b99b1445e70eefab1ad5c7e240323d,1,0.0,1,1,19,0,0,0.10526315789473684,19.0,0
51e2be388591b4f80b9bd7995419c0709cf491b5,1,0.0,4,4,47,0,0,0.1702127659574468,47.0,0
533f88db220cfdf81d1b0b5cb7e423d56c74c0e3,1,0.0,1,1,336,0,0,0.005952380952380952,336.0,0
29faeded25158f96e5aae9a118bbdfab7832bbd0,1,0.0,48,0,0,0,0,48.0,0.0,0
90381cae412b094e2d9bc2427d6035f827495ea5,1,0.0,42,0,0,0,0,42.0,0.0,0
6ebc7bb11851a0901b99547648a906db382dae41,10,0.661852860814797,34,0,0,0,0,34.0,0.0,0
72b9849df9a761354d994f0986809003c8407342,1,0.0,9,5,19,0,0,0.7368421052631579,19.0,0
e7e63a87c54df6ee901bfd1cd77ae58ef3c4a38b,1,0.0,1,0,0,0,0,1.0,0.0,0
8364906f5292c363ed331df85d0dc636dc524cfa,3,0.7492573164451396,32,42,64,0,0,1.15625,21.33333333333333,0
8a68b48066b98c90aa0e4ab99bac4fbada672009,2,0.32840071392894665,71,12,238,0,0,0.3487394957983193,119.0,1
06099cd1767f7605061965934307f7ee1ee59cf3,1,0.0,8,0,0,0,0,8.0,0.0,0
5ab953b1041cdf6e9d1e33527d9c41571de6a8b7,2,0.222284830685688,48,8,297,0,0,0.18855218855218853,148.5,1
7c599ce5dda82788e1be066b7f19c68fff127829,2,0.9852281360342516,18,10,172,0,0,0.16279069767441862,86.0,0
7f18a216cbb57328bbf99d94b0b114e9c0073fb2,2,0.7642045065086203,36,36,180,0,0,0.4,90.0,1
9c8b7d735f3c3b4074f7b3d4913c269991b72911,2,0.362051251733998,20,9,562,0,0,0.051601423487544484,281.0,0
