n_commit,n_bug,n_suspect
114,8,0
5,2,0
1384,122,238
14719,3804,1264
3622,323,457
844,130,52
1192,127,50
14732,735,1006
3505,784,673
588,64,136
4,0,0
2094,276,112
15627,3146,2146
3922,475,298
100,10,7
24491,3742,6046
1737,559,78
50441,10515,6457
848,174,323
3648,663,1144
949,190,269
3818,879,838
14,2,0
4772,551,1201
14927,2548,4683
16432,985,1383
1141,454,133
40,3,0
2676,241,124
94,5,1
924,118,209
1209,158,83
5,1,0
3048,518,538
2302,277,197
5515,773,1084
2472,430,158
39,7,6
136,5,8
372,61,37
813,157,186
2984,418,285
850,36,1
8211,1243,2405
518,33,80
6388,1144,1496
155,21,8
458,99,63
5122,875,1213
2277,381,368
1,0,0
3065,360,433
337,98,5
6370,845,1047
6621,429,307
989,209,193
826,219,150
771,146,117
13343,1963,1512
8,3,0
981,153,216
54,8,0
10649,1098,3012
367,66,53
2030,328,263
34,3,0
132,28,7
1331,164,89
33,6,4
240,35,24
1606,180,189
541,81,51
5231,1497,1511
439,26,8
494,26,5
23081,3019,2731
287,13,14
19552,3107,2400
1359,214,313
737,43,62
3419,317,350
1029,179,233
6167,1046,843
311,63,60
225,37,99
272,59,11
1202,168,431
51618,9183,5413
2313,337,951
1504,221,141
895,264,290
715,110,92
1172,181,57
404,21,21
5,2,0
64,9,2
3681,362,379
218,21,48
1223,134,264
392,14,14
994,76,47
2930,516,454
2804,190,107
328,34,21
1237,167,169
41,2,0
554,63,82
263,18,17
1757,346,393
708,69,63
5399,864,374
425,88,28
412,79,93
694,129,105
9038,932,1506
4697,692,482
1132,90,56
15748,2676,1261
3372,561,536
6786,858,303
168,33,4
1461,220,88
325,118,2
426,80,56
433,62,48
4582,375,443
1824,484,784
1081,138,114
6160,894,1830
742,93,44
876,105,109
8077,847,1908
1467,204,328
2889,202,198
4156,530,556
538,34,81
525,79,50
1218,270,101
2991,308,237
294,33,57
770,246,187
1550,160,133
1414,94,453
1533,233,233
131,10,6
2649,273,100
3823,577,777
6415,676,877
3731,409,210
250,90,63
1533,290,316
2528,232,240
14011,2483,1600
1242,176,169
254,36,27
739,200,200
279,23,14
27175,3136,2159
1197,160,91
1684,272,143
884,104,149
619,55,43
80,5,0
821,97,77
2267,328,817
1598,302,275
1228,185,431
608,80,131
4057,562,664
759,139,78
3737,555,425
118,9,8
967,100,17
962,242,5
1193,96,336
2322,307,302
3436,372,403
931,105,99
4034,577,1030
485,49,139
626,98,29
516,90,58
4329,497,403
665,203,100
11483,1213,1435
2461,434,964
306,82,83
10001,1280,1097
3134,628,658
4145,540,268
4783,406,537
2070,189,154
1515,200,208
749,91,261
864,117,55
931,126,113
977,113,26
909,63,35
1810,252,202
1789,239,500
556,96,218
1360,165,863
603,109,129
1167,228,388
1645,106,132
2374,172,136
414,15,14
1840,185,359
22,7,1
504,82,32
918,134,85
965,93,22
2947,583,755
1153,132,102
3549,454,1189
857,28,109
1710,156,69
1379,119,140
2840,432,364
377,73,127
1120,81,100
336,43,10
10399,1706,1227
1023,29,21
2634,689,386
471,74,133
431,66,102
257,29,25
534,113,63
12655,1681,1709
4262,1144,1374
9933,1050,795
254,29,39
1643,201,67
795,92,197
10356,1561,1414
375,26,127
837,78,124
787,156,35
13825,2579,1321
3431,643,415
2360,341,266
7638,1246,1269
789,164,61
9239,1543,974
2604,267,275
295,39,18
1113,439,312
609,65,157
2735,359,395
1367,398,283
98,20,5
1574,199,207
4492,794,977
2574,199,110
22870,2001,3790
540,30,134
76,10,8
2008,245,578
815,189,47
2343,368,235
863,116,334
348,34,19
838,87,61
444,129,94
216,58,14
2273,540,430
1716,296,46
89,17,16
797,67,155
1524,249,204
535,95,86
1070,107,41
975,73,78
6021,628,606
385,53,39
1463,175,69
619,96,93
2617,123,101
1363,199,295
1570,299,432
1953,234,288
1700,320,170
